"ID;""RegioS"";""Perioden"";""PrijsindexVerkoopprijzen_1"";""OntwikkelingTOVVoorgaandePeriode_2"";""OntwikkelingTOVEenJaarEerder_3"";""VerkochteWoningen_4"";""OntwikkelingTOVVoorgaandePeriode_5"";""OntwikkelingTOVEenJaarEerder_6"";""GemiddeldeVerkoopprijs_7"";""TotaleWaardeVerkoopprijzen_8"""
"118;""NL01"";""2018KW04"";""   126.7"";""     1.5"";""     9.0"";""   56535"";""    -0.7"";""   -14.6"";""  293210"";""   16577"""
"119;""NL01"";""2018JJ00"";""   123.2"";""     9.0"";""     9.0"";""  218491"";""    -9.7"";""    -9.7"";""  287267"";""   62765"""
"120;""NL01"";""2019KW01"";""   128.9"";""     1.7"";""     7.9"";""   47431"";""   -16.1"";""    -9.0"";""  301279"";""   14290"""
"121;""NL01"";""2019KW02"";""   130.4"";""     1.1"";""     7.2"";""   52506"";""    10.7"";""    -0.8"";""  302538"";""   15885"""
"122;""LD01"";""1995KW01"";""    41.9"";"""";"""";""    3212"";"""";"""";""   71592"";""     230"""
"123;""LD01"";""1995KW02"";""    42.4"";""     1.3"";"""";""    4228"";""    31.6"";"""";""   71048"";""     300"""
"124;""LD01"";""1995KW03"";""    43.5"";""     2.5"";"""";""    4574"";""     8.2"";"""";""   74326"";""     340"""
"125;""LD01"";""1995KW04"";""    44.4"";""     2.2"";"""";""    5424"";""    18.6"";"""";""   73940"";""     401"""
"126;""LD01"";""1995JJ00"";""    43.1"";"""";"""";""   17438"";"""";"""";""   72907"";""    1271"""
"127;""LD01"";""1996KW01"";""    45.5"";""     2.4"";""     8.6"";""    4083"";""   -24.7"";""    27.1"";""   73966"";""     302"""
"128;""LD01"";""1996KW02"";""    47.3"";""     4.0"";""    11.5"";""    5303"";""    29.9"";""    25.4"";""   77616"";""     412"""
"129;""LD01"";""1996KW03"";""    48.7"";""     3.0"";""    12.1"";""    5246"";""    -1.1"";""    14.7"";""   81426"";""     427"""
"130;""LD01"";""1996KW04"";""    49.6"";""     1.8"";""    11.7"";""    5680"";""     8.3"";""     4.7"";""   80755"";""     459"""
"131;""LD01"";""1996JJ00"";""    47.8"";""    11.0"";""    11.0"";""   20312"";""    16.5"";""    16.5"";""   78744"";""    1599"""
"132;""LD01"";""1997KW01"";""    50.1"";""     1.0"";""    10.1"";""    4122"";""   -27.4"";""     1.0"";""   80820"";""     333"""
"133;""LD01"";""1997KW02"";""    51.7"";""     3.2"";""     9.3"";""    5923"";""    43.7"";""    11.7"";""   83729"";""     496"""
"134;""LD01"";""1997KW03"";""    52.9"";""     2.4"";""     8.6"";""    5485"";""    -7.4"";""     4.6"";""   87672"";""     481"""
"135;""LD01"";""1997KW04"";""    53.7"";""     1.4"";""     8.2"";""    5892"";""     7.4"";""     3.7"";""   89057"";""     525"""
"136;""LD01"";""1997JJ00"";""    52.1"";""     9.0"";""     9.0"";""   21422"";""     5.5"";""     5.5"";""   85644"";""    1835"""
"137;""LD01"";""1998KW01"";""    55.0"";""     2.5"";""     9.8"";""    4099"";""   -30.4"";""    -0.6"";""   88007"";""     361"""
"138;""LD01"";""1998KW02"";""    56.0"";""     1.8"";""     8.2"";""    5398"";""    31.7"";""    -8.9"";""   90926"";""     491"""
"139;""LD01"";""1998KW03"";""    57.7"";""     3.0"";""     8.9"";""    5586"";""     3.5"";""     1.8"";""   98042"";""     548"""
"140;""LD01"";""1998KW04"";""    59.2"";""     2.7"";""    10.3"";""    6203"";""    11.0"";""     5.3"";""   97509"";""     605"""
"141;""LD01"";""1998JJ00"";""    56.9"";""     9.3"";""     9.3"";""   21286"";""    -0.6"";""    -0.6"";""   94150"";""    2004"""
"142;""LD01"";""1999KW01"";""    60.6"";""     2.3"";""    10.1"";""    4730"";""   -23.7"";""    15.4"";""  100182"";""     474"""
"143;""LD01"";""1999KW02"";""    63.1"";""     4.1"";""    12.7"";""    5887"";""    24.5"";""     9.1"";""  104035"";""     612"""
"144;""LD01"";""1999KW03"";""    66.4"";""     5.3"";""    15.1"";""    6545"";""    11.2"";""    17.2"";""  112061"";""     733"""
"145;""LD01"";""1999KW04"";""    68.9"";""     3.9"";""    16.5"";""    6394"";""    -2.3"";""     3.1"";""  114141"";""     730"""
"146;""LD01"";""1999JJ00"";""    64.7"";""    13.7"";""    13.7"";""   23556"";""    10.7"";""    10.7"";""  108234"";""    2550"""
"147;""LD01"";""2000KW01"";""    71.6"";""     3.8"";""    18.2"";""    4371"";""   -31.6"";""    -7.6"";""  118803"";""     519"""
"148;""LD01"";""2000KW02"";""    75.3"";""     5.2"";""    19.4"";""    5188"";""    18.7"";""   -11.9"";""  124958"";""     648"""
"149;""LD01"";""2000KW03"";""    79.0"";""     4.9"";""    19.0"";""    5537"";""     6.7"";""   -15.4"";""  132425"";""     733"""
"150;""LD01"";""2000KW04"";""    80.5"";""     2.0"";""    16.8"";""    5934"";""     7.2"";""    -7.2"";""  133405"";""     792"""
"151;""LD01"";""2000JJ00"";""    76.6"";""    18.3"";""    18.3"";""   21030"";""   -10.7"";""   -10.7"";""  128028"";""    2692"""
"152;""LD01"";""2001KW01"";""    83.2"";""     3.3"";""    16.2"";""    4053"";""   -31.7"";""    -7.3"";""  135546"";""     549"""
"153;""LD01"";""2001KW02"";""    85.8"";""     3.2"";""    14.0"";""    5277"";""    30.2"";""     1.7"";""  141871"";""     749"""
"154;""LD01"";""2001KW03"";""    88.5"";""     3.1"";""    12.0"";""    5686"";""     7.8"";""     2.7"";""  146492"";""     833"""
"155;""LD01"";""2001KW04"";""    89.5"";""     1.2"";""    11.2"";""    5907"";""     3.9"";""    -0.5"";""  147318"";""     870"""
